ID,Company_Name,Twitter_Account
202,7-Eleven Malaysia,7ElevenMy
203,eBay,ebay
204,Magna International,MagnaInt
205,EDF,EDFofficiel
206,Uniqlo,UniqloUSA
207,ArcelorMittal,arcelormittal
208,Heineken,HEINEKENCorp
209,Safran,SAFRAN
210,Kellogg,KelloggCompany
211,AbbVie,abbvie
212,Primark,Primark
213,Flipkart.com,Flipkart
214,Aramco,Saudi_Aramco
215,Chevron,Chevron
216,UnitedHealth Group,UnitedHealthGrp
217,Reckitt Benckiser,discoverRB
218,CNN,CNN
219,Target,target
220,Capital One Financial,capitalone
221,TUI Group,TUIGroup
222,Visa,VisaNews
223,Marvel Entertainment,Marvel
224,Scotiabank,scotiabank
225,Rappi,RappiColombia
226,Kraft Heinz,hjheinzcompany
227,Universal Music Group,umg
228,MasterCard,MasterCard
229,T-Mobile,TMobileHelp
230,PwC,pwc_llp
231,Alstom,null
232,Barclays,Barclays
233,Hyatt,HyattsofChicago
234,British American Tobacco,BATPress
235,Publicis Groupe,publicisgroupe
236,Sony Music Entertainment,SonyMusicGlobal
237,Hermes,null
238,HDFC Bank,Hdfc_Bank
239,Linkedin,LinkedIn
240,AIG,AIGinsurance
241,Four Seasons Hotels and Resorts,fourseasons
242,UBS,UBS
243,BASF,basf
244,Faurecia,Faurecia
245,Qualcomm,qualcomm
246,Siemens Gamesa Renewable Energy,Gamesa_Official
247,Maxis,MaxisListens
248,Sodexo,SodexoGroup
249,Disneyland Paris,Disney_ParisEN
250,Morgan Stanley,MorganStanley
251,Merck KGaA,merckgroup
252,Tesco,tesco
253,Thermo Fisher Scientific,servingscience
254,Santander,bancosantander
255,Singapore Airlines,singaporeair
256,Qatar Airways,qatarairways
257,Groupe La Poste,lisalaposte
258,RBC,RBC
259,Mahindra & Mahindra,MahindraRise
260,BHP Group,null
261,Sky,SkyNews
262,Levi Strauss & Co,LeviStraussCo
263,ABC News,ABC
264,Air Canada,aircanada
265,Raytheon Technologies,RaytheonTech
266,Caterpillar,caterpillarinc
267,Lamborghini,lamborghini
268,Nubank,nubankbrasil
269,Ineos,INEOS
270,Atos,atos
271,Natura & Co,Naturacosmetica
272,Comcast,comcast
273,Maersk,Maersk
274,Henkel AG & Co.,Henkel
275,Gilead Sciences,GileadSciences
276,MAC Cosmetics,MACcosmetics
277,Byju's,null
278,Malaysia Airlines,MAS
279,Reliance Industries,null
280,Allianz Technology,Allianz_Tech
281,DBS Group,dbsbank
282,Ralph Lauren,RalphLauren
283,Aviva,avivaplc
284,Panasonic,panasonic
285,Valeo,Valeo_Group
286,Glovo,Glovo_ES
287,Afry,AFkarriar
288,Mattel,Mattel
289,AirAsia Berhad,AirAsia
290,Loblaw Companies,LoblawsON
291,Fidelity,Fidelity
292,Kia Motors,Kia_Korea
293,Tech Mahindra,Tech_Mahindra
294,Glencore,glencorexstrata
295,Unibail-Rodamco-Westfield,urw_group
296,Standard Chartered,stanchart
297,ANZ Bank,ANZ_Newsroom
298,Amundi,Amundi_FR
299,Telekom Malaysia,tmconnects
300,Lazada Group,LazadaMY
301,Under Armour,UnderArmour
302,Lidl,lidl
303,Nestl� Malaysia,Nestle
304,Rio Tinto,riotinto
305,Expedia Group,Expedia
306,The Hershey Company,hersheys
307,Bridgestone,Bridgestone
308,Commonwealth Bank,commbank
309,EDF Energy,edfenergy
310,AmBev,ambevbrasil
311,Hindustan Unilever,HUL_News
312,Adecco Group,AdeccoGroup
313,Cognizant,cognizant
314,Teleperformance,Teleperformance
315,Veolia,veolia
316,Victoria's Secret,victoriassecret
317,Schlumberger,null
318,ING,ing_news
319,Ferrari,null
320,The Walt Disney Studios,DisneyPictures
321,Genting Malaysia,GentingMalaysia
322,Ceva Logistics,cevalogistics
323,Commerzbank,commerzbank
324,Cargill,Cargill
325,Best Buy,BestBuy
326,Bombardier,Bombardier
327,Asus,ASUSPressRoom
328,Amway,amwayus
329,GoJek,gojekindonesia
330,Aston Martin,astonmartin
331,AIA Group,AIAGroupLimited
332,Vans,VANS_66
333,Eli Lilly,null
334,Forever 21,Forever21
335,ViacomCBS,viacom
336,JetBlue,jetblue
337,Kroger,KrogerCo
338,OCBC Bank,ocbcbank
339,BNY Mellon,bnymellon
340,Pizza Hut,pizzahut
341,Bentley Motors,BentleyMotors
342,Saint-Gobain,SaintGobainNews
343,Rolls-Royce Group,RollsRoyceNews
344,Warner Music Group,warnermusic
345,Oppo,oppo
346,New York Times Company,nytimes
347,Paytm,paytm
348,Kering,KeringGroup
349,EA - Electronic Arts,EA
350,Allstate,Allstate
351,Seat,tuSEAT
352,Colruyt,colruyt
353,Pos Malaysia,pos4you
354,Deloitte US,DeloitteFrance
355,Lacoste,lacoste
356,Orange Business Services,orangebusiness
357,Avon Products,avonworldwide
358,Gap,GapInc
359,VMware,VMware
360,Deutsche Post DHL,DeutschePostDHL
361,Liverpool FC,lfc
362,Lloyds Banking Group,lloydsbankinggp
363,Kimberly-Clark,KCCorp
364,Iqvia,IQVIA_global
365,Chick-fil-A,ChickfilA
366,Lowe's Companies,lowes
367,Baker Hughes,BHInc
368,Bristol-Myers Squibb,bmsnews
369,Booking.com,bookingcom
370,About You,ABOUTYOUDE
371,Marvel Studios,MarvelStudios
372,Bharti Airtel,airtelindia
373,Ecobank,GroupEcobank
374,Aramark,ARAMARK
375,Aon,Aon_plc
376,KFC,kfc
377,ADNOC,null
378,Johnson Controls,johnsoncontrols
379,Royal Caribbean Group,royalcaribbean
380,DXC Technology,DXCTechnology
381,ADP,adp
382,Kaiser Permanente,KPShare
383,BD,BDandCo
384,HCA,hcahealthcare
385,Richemont,Richemont_SA
386,Allianz France,allianzfrance
387,Jaguar Land Rover,landrover
388,Celcom Axiata,null
389,Ericsson,ericsson
390,WhatsApp,WhatsApp
391,Comparethemarket.com,comparethemkt
392,Halliburton,Halliburton
393,Airbus Defence & Space,AirbusDS
394,The Body Shop,TheBodyShopIND
395,Alptis,alptis
396,Whole Foods Market,wholefoods
397,Mercadolibre,Mercadolibre
398,State Farm,StateFarm
399,JTC Corporation,jtccorp
400,Northrop Grumman,NorthropGrumman
401,Ricoh,RicohJapan
402,Morrisons,Morrisons
403,OYO Rooms,oyorooms
404,LafargeHolcim,LafargeHolcim
405,TDCX,TeledirectGroup
406,Lazada Philippines,LazadaPH
407,Fnac Darty,fnac
408,Pixar Animation Studios,disneypixar
409,MTN,MTNGroup
410,Baskin-Robbins,baskinrobbins
411,Dick's Sporting Goods,dicks
412,Eaton,eatoncorp
413,Suez,suezenv
414,Green Energy,thesmartgrid
415,Nestl� Nespresso,Nespresso
416,Anthem,WellPoint
417,Whirlpool,WhirlpoolCorp
418,Walgreens Boots Alliance,AllianceBoots
419,MetLife,MetLife
420,Emirates Airline,emirates
421,Altran,Altran
422,John Lewis Partnership,johnlewisretail
423,Natixis,Natixis_com
424,British Airways,british_airways
425,Ahold Delhaize,null
426,Twitch,twitch
427,Waitrose & Partners,waitrose
428,Tupperware Brands,tupperwareww
429,Anglo American,AngloAmericanBR
430,TalkTalk Telecom Group,talktalk_uk
431,Tiffany & Co,TiffanyAndCo
432,Philippine National Bank,PhilNaBank
433,ESPN,espn
434,BMO Financial Group,bmo
435,Adani,AdaniOnline
436,Fiserv,fiserv
437,NBCUniversal,NBCUniversal
438,Kuehne+Nagel,knlogistics
439,Air Liquide,AirLiquidenergy
440,Amgen,amgen
441,ACS Group,GRUPOACSnews
442,Coty,cotythecompany
443,Cigna,cigna
444,Ogilvy,Ogilvy
445,Aetna,Aetna
446,JLL,jllnews
447,International Airlines Group - IAG,null
448,United Airlines,united
449,Axa IM,axaim
450,HCL Technologies,hcltech
451,Fluor,fluorcorp
452,A.S. Watson Group,leveranciersASW
453,ABN Amro,abnamro
454,XPO Logistics,XPOLogistics
455,Allianz Australia,allianz_au
456,Amadeus,AmadeusITGroup
457,Macy's,Macys
458,Deliveroo,Deliveroo
459,Infineon Technologies,Infineon
460,HSBC Continental Europe,HSBC_Press
461,Etisalat,etisalat
